dataset name,archiveType,proxyObservationType,units,proxySystem
MD01-2390.Steinke.2008,marine sediment,mgca,mmol/mol,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.Globigerinoides_ruber.Mg/Ca
NAm-HerringAlpine.Fritts.1995,tree,sampleCount,count,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-HerringAlpine.Fritts.1995,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
NAm-HerringAlpine.Fritts.1995,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
NAm-HerringAlpine.Fritts.1995,tree,SD,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-HerringAlpine.Fritts.1995,tree,EPS,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
Asi-TW001.Wright.2010,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Asi-TW001.Wright.2010,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
NAm-MtLemon.Briffa.2002,tree,density,g/cm3,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-MtLemon.Briffa.2002,tree,ARS,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-MtLemon.Briffa.2002,tree,corrs,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-MtLemon.Briffa.2002,tree,core,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-MtLemon.Briffa.2002,tree,ARS,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-MtLemon.Briffa.2002,tree,ringWidth,cm,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
