authorName,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
T. Harlan.,Wood,Tree Ring Width,cm,NA,NA,NA,NA
Brian H Luckman,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
Andr̩ F. Lotter,LakeSediment,Sulfur,percent,NA,NA,NA,NA
Kevin J. Anchukaitis,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,NA,NA
Trevor J. Porter,Ice-other,D18O,permil,NA,NA,uncertainty temperature1,degC
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp.error,degC
Teresa R. Krause,LakeSediment,MBT',NA,NA,NA,NA,NA
Jacek Raddatz,MarineSediment,Mg/Ca,mmol/mol,NA,NA,NA,NA
Laia Andreu-Hayles,Wood,Segment,NA,NA,NA,NA,NA
B. Risebrobakken,MarineSediment,D18O,permil,Water Temperature,Na,Na Water Temperature,NA
Vinther,GlacierIce,Dd,permil,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
Edward R. Cook,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Steig,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
D.E. Zhang,Peat,NA,NA,NA,NA,Temperature,index
NA,MarineSediment,Uk37,NA,NA,NA,surface.temp,degC
I.S. Nurhati,Coral,NA,cm,NA,NA,D18O,permil
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
D. B. Fagre,Wood,NA,NA,NA,NA,NA,NA
NA,MarineSediment,Caco3,percent,NA,NA,surface.temp,degC
NA,MarineSediment,Mg/Ca,mmol/mol,NA,NA,surface.temp,degC
B. Luckman,Wood,Sample Count,count,NA,NA,NA,NA
David Frank,Wood,Residual,NA,NA,NA,NA,NA
Daniel G. Gavin,Wood,NA,NA,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
I.S. Castai¿½Eda,MarineSediment,NA,cm,NA,NA,NA,NA
Keith R. Briffa,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
Jacek Raddatz,MarineSediment,Uk37,NA,NA,NA,Temperature,degC
Harold C. Fritts,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Lesleigh Anderson,LakeSediment,D18O,permil,NA,Na,NA,NA
Jacek Raddatz,MarineSediment,Caco3,percent,NA,NA,Temperature,degC
J. L. Betancourt,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
David Frank,Wood,Arstan Chronology,NA,NA,NA,NA,NA
Gordon Jacoby,Wood,Segment,NA,NA,NA,NA,NA
Rui Zhang,LakeSediment,Brgdgt,peak area,NA,NA,NA,NA
Hans Renssen,MarineSediment,NA,m,NA,NA,Subsurface Temperature,degC
Rosanne D’Arrigo,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
Fidel Gonz�Lez-Rouco,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
S Kaplan,Wood,Corrs,NA,NA,NA,NA,NA
Sasiri Bandara,Ice-other,NA,cm,NA,NA,uncertainty temperature1,degC
Thomas,LakeSediment,Dd,permil,Precipitation Isotope,Air Surface,Air Surface Precipitation Isotope,NA
Stefan Schouten,LakeSediment,Core,NA,NA,NA,Temperature,degC
S. J. Johnsen,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
G. C. Jacoby,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
C. Kissel,MarineSediment,Core,NA,NA,NA,NA,NA
Juzhi Hou,LakeSediment,NA,cm,NA,NA,uncertainty.temperature,degC
