coordinates,publication,filename,authorName,archiveType,variableType,description,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
"[11.54, -70.86, 500]",PAGES2kv2,Ant-CoastalDML.Thamban.2012.lpd,Rasik Ravindra,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,J. Jouzel,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,V. Masson,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,O. Cattani,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,S. Falourd,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,M. Stievenard,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,B. Stenni,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,A. Longinelli,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,S. J. Johnsen,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,J. P. Steffenssen,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,J. R. Petit,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,J. Schwander,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,R. Souchez,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Jouzel.2001.lpd,N. I. Barkov,glacier ice,measured,NA,Dd,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Stenni.2001.lpd,B. Stenni,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Stenni.2001.lpd,V Masson-Delmotte,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Stenni.2001.lpd,S. Johnsen,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Stenni.2001.lpd,J. Jouzel,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Stenni.2001.lpd,A. Longinelli,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Stenni.2001.lpd,E. Monnin,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[123.39, -75.1, 3233]",PAGES2kv2,Ant-DomeC.Stenni.2001.lpd,R. Röthlisberger,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
