filename,archiveType,inferredVariableType,units,proxyObservationType,interpretation/variable,interpretation/variableDetail
Asi-BT004.Cook.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BT004.Cook.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-BT004.Cook.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-BT005.Cook.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BT005.Cook.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-BT005.Cook.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-BT006.Cook.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BT006.Cook.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-BT006.Cook.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-BT008.Cook.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BT008.Cook.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-BT008.Cook.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-BT009.Cook.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BT009.Cook.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-BT009.Cook.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-BT010.Cook.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BT010.Cook.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-BT010.Cook.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-BT011.Cook.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BT011.Cook.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-BT011.Cook.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-BT018.Cook.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BT018.Cook.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-BT018.Cook.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-BURGPW.PAGES2k.2013.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BURGPW.PAGES2k.2013.lpd,tree,NA,NA,TRW,NA,NA
Asi-BURGPW.PAGES2k.2013.lpd,tree,Year,NA,NA,NA,NA
Asi-CENTIB.PAGES2k.2013.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-CENTIB.PAGES2k.2013.lpd,tree,NA,NA,TRW,NA,NA
Asi-CENTIB.PAGES2k.2013.lpd,tree,Year,NA,NA,NA,NA
Asi-CentralChina.Wang.1998.lpd,documents,Temperature,NA,GhostMeasured,NA,NA
Asi-CentralChina.Wang.1998.lpd,documents,Year,NA,NA,NA,NA
Asi-CHIN004.Wu.2013.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-CHIN004.Wu.2013.lpd,tree,NA,NA,TRW,NA,NA
Asi-CHIN004.Wu.2013.lpd,tree,Year,NA,NA,NA,NA
Asi-CHIN005.Sheppard.2013.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-CHIN005.Sheppard.2013.lpd,tree,NA,NA,TRW,NA,NA
Asi-CHIN005.Sheppard.2013.lpd,tree,Year,NA,NA,NA,NA
Asi-CHIN006.Sheppard.2013.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-CHIN006.Sheppard.2013.lpd,tree,NA,NA,TRW,NA,NA
Asi-CHIN006.Sheppard.2013.lpd,tree,Year,NA,NA,NA,NA
Asi-CHIN016.Li.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-CHIN016.Li.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-CHIN016.Li.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-CHIN017.Li.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-CHIN017.Li.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-CHIN017.Li.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-CHIN018.Li.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-CHIN018.Li.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-CHIN018.Li.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-CHIN019.Li.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-CHIN019.Li.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-CHIN019.Li.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-CHIN020.Li.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-CHIN020.Li.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-CHIN020.Li.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-CHIN021.Li.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-CHIN021.Li.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-CHIN021.Li.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-CHIN026.Wright.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-CHIN026.Wright.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-CHIN026.Wright.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-CHIN029.Krusic.2010.lpd,tree,NA,NA,Trsgi,NA,NA
