filename,archiveType,proxyObservationType,units
Asi-MONG019.Jacoby.2010.lpd,tree,TRW,NA
Asi-MONG020.Jacoby.2010.lpd,tree,Trsgi,NA
Asi-MONG020.Jacoby.2010.lpd,tree,TRW,NA
Asi-MONG021.Jacoby.2010.lpd,tree,Trsgi,NA
Asi-MONG021.Jacoby.2010.lpd,tree,TRW,NA
Asi-MONG024.Jacoby.2010.lpd,tree,Trsgi,NA
Asi-MONG024.Jacoby.2010.lpd,tree,TRW,NA
Asi-MONG025.Jacoby.2010.lpd,tree,Trsgi,NA
Asi-MONG025.Jacoby.2010.lpd,tree,TRW,NA
Asi-MONG026.Jacoby.2010.lpd,tree,Trsgi,NA
Asi-MONG026.Jacoby.2010.lpd,tree,TRW,NA
Asi-MONG027.Jacoby.2010.lpd,tree,Trsgi,NA
Asi-MONG027.Jacoby.2010.lpd,tree,TRW,NA
Asi-MONG028.Jacoby.2010.lpd,tree,Trsgi,NA
Asi-MONG028.Jacoby.2010.lpd,tree,TRW,NA
