coordinates,publication,filename,authorName,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[6.77, 78.91, -1491]",PAGES2kv2,Ocn-WesternSvalbard.Spielhagen.2011.lpd,K. Werner,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[6.77, 78.91, -1491]",PAGES2kv2,Ocn-WesternSvalbard.Spielhagen.2011.lpd,S. A. Sorensen,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[6.77, 78.91, -1491]",PAGES2kv2,Ocn-WesternSvalbard.Spielhagen.2011.lpd,K. Zamelczyk,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[6.77, 78.91, -1491]",PAGES2kv2,Ocn-WesternSvalbard.Spielhagen.2011.lpd,E. Kandiano,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[6.77, 78.91, -1491]",PAGES2kv2,Ocn-WesternSvalbard.Spielhagen.2011.lpd,G. Budeus,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[6.77, 78.91, -1491]",PAGES2kv2,Ocn-WesternSvalbard.Spielhagen.2011.lpd,K. Husum,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[6.77, 78.91, -1491]",PAGES2kv2,Ocn-WesternSvalbard.Spielhagen.2011.lpd,T. M. Marchitto,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[6.77, 78.91, -1491]",PAGES2kv2,Ocn-WesternSvalbard.Spielhagen.2011.lpd,M. Hald,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[5.885, 78.96, -1497]",PAGES2kv2,Ocn-WestSpitzberg.Bonnet.2010.lpd,Sophie Bonnet,marine sediment,inferred,inferred sea-surface temperature (mean),NA,Sea Surface,Temperature,degC,1
"[5.885, 78.96, -1497]",PAGES2kv2,Ocn-WestSpitzberg.Bonnet.2010.lpd,Anne De Vernal,marine sediment,inferred,inferred sea-surface temperature (mean),NA,Sea Surface,Temperature,degC,1
