coordinates,publication,filename,authorName,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[-8.5338, 47.452, -2174]",Temp12k1_0_1,MD95_2002.Eynaud.2012.lpd,Jean-Louis Turon,MarineSediment,inferred,SST_annual,NA,Sea Surface,Temperature,degC,1
"[-8.5338, 47.452, -2174]",Temp12k1_0_1,MD95_2002.Eynaud.2012.lpd,G̩Rard Auffret,MarineSediment,inferred,SST_annual,NA,Sea Surface,Temperature,degC,1
"[7.6393, 66.9697, -1048]",Temp12k1_0_1,MD95_2011Assemblage.Risebrobakken.2003.lpd,Bj  Rg Risebrobakken,MarineSediment,inferred,SST_sum_degC,NA,Sea Surface,Temperature,degC,1
"[7.6393, 66.9697, -1048]",Temp12k1_0_1,MD95_2011Assemblage.Risebrobakken.2003.lpd,Eystein Jansen,MarineSediment,inferred,SST_sum_degC,NA,Sea Surface,Temperature,degC,1
"[7.6393, 66.9697, -1048]",Temp12k1_0_1,MD95_2011Assemblage.Risebrobakken.2003.lpd,Carin Andersson,MarineSediment,inferred,SST_sum_degC,NA,Sea Surface,Temperature,degC,1
"[7.6393, 66.9697, -1048]",Temp12k1_0_1,MD95_2011Assemblage.Risebrobakken.2003.lpd,Eirik Mjelde,MarineSediment,inferred,SST_sum_degC,NA,Sea Surface,Temperature,degC,1
"[7.6393, 66.9697, -1048]",Temp12k1_0_1,MD95_2011Assemblage.Risebrobakken.2003.lpd,Kjersti Hevr  Y,MarineSediment,inferred,SST_sum_degC,NA,Sea Surface,Temperature,degC,1
"[174.9308, -45.5344, -1210]",Temp12k1_0_1,MD97_2120.Pahnke.2006.lpd,Katharina Pahnke,MarineSediment,inferred,sst_uk37_p,NA,Sea Surface,Temperature,degC,1
"[174.9308, -45.5344, -1210]",Temp12k1_0_1,MD97_2120.Pahnke.2006.lpd,Julian P. Sachs,MarineSediment,inferred,sst_uk37_p,NA,Sea Surface,Temperature,degC,1
"[123.49, 14.82, -730]",Temp12k1_0_1,MD98_2188.Dang.2012.lpd,Haowen Dang,MarineSediment,inferred,SST_Anand,NA,Sea Surface,Temperature,degC,1
"[123.49, 14.82, -730]",Temp12k1_0_1,MD98_2188.Dang.2012.lpd,Zhimin Jian,MarineSediment,inferred,SST_Anand,NA,Sea Surface,Temperature,degC,1
"[123.49, 14.82, -730]",Temp12k1_0_1,MD98_2188.Dang.2012.lpd,Franck Bassinot,MarineSediment,inferred,SST_Anand,NA,Sea Surface,Temperature,degC,1
"[123.49, 14.82, -730]",Temp12k1_0_1,MD98_2188.Dang.2012.lpd,Peijun Qiao,MarineSediment,inferred,SST_Anand,NA,Sea Surface,Temperature,degC,1
"[123.49, 14.82, -730]",Temp12k1_0_1,MD98_2188.Dang.2012.lpd,Xinrong Cheng,MarineSediment,inferred,SST_Anand,NA,Sea Surface,Temperature,degC,1
"[123.49, 14.82, -730]",Temp12k1_0_1,MD98_2188.Dang.2012.lpd,Haowen Dang,MarineSediment,inferred,TWT_Anand,NA,Sea Subsurface,Temperature,degC,1
"[123.49, 14.82, -730]",Temp12k1_0_1,MD98_2188.Dang.2012.lpd,Zhimin Jian,MarineSediment,inferred,TWT_Anand,NA,Sea Subsurface,Temperature,degC,1
"[123.49, 14.82, -730]",Temp12k1_0_1,MD98_2188.Dang.2012.lpd,Franck Bassinot,MarineSediment,inferred,TWT_Anand,NA,Sea Subsurface,Temperature,degC,1
"[123.49, 14.82, -730]",Temp12k1_0_1,MD98_2188.Dang.2012.lpd,Peijun Qiao,MarineSediment,inferred,TWT_Anand,NA,Sea Subsurface,Temperature,degC,1
"[123.49, 14.82, -730]",Temp12k1_0_1,MD98_2188.Dang.2012.lpd,Xinrong Cheng,MarineSediment,inferred,TWT_Anand,NA,Sea Subsurface,Temperature,degC,1
"[-110.1304, 37.9049, 1835]",Temp12k1_0_1,MiddenCluster1.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-110.1304, 37.9049, 1835]",Temp12k1_0_1,MiddenCluster1.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-110.1304, 37.9049, 1835]",Temp12k1_0_1,MiddenCluster1.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-110.1304, 37.9049, 1835]",Temp12k1_0_1,MiddenCluster1.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-115.1879, 36.3806, 1297]",Temp12k1_0_1,MiddenCluster2.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-115.1879, 36.3806, 1297]",Temp12k1_0_1,MiddenCluster2.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-115.1879, 36.3806, 1297]",Temp12k1_0_1,MiddenCluster2.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-115.1879, 36.3806, 1297]",Temp12k1_0_1,MiddenCluster2.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-108.0819, 36.0589, 1848]",Temp12k1_0_1,MiddenCluster3.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-108.0819, 36.0589, 1848]",Temp12k1_0_1,MiddenCluster3.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-108.0819, 36.0589, 1848]",Temp12k1_0_1,MiddenCluster3.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-108.0819, 36.0589, 1848]",Temp12k1_0_1,MiddenCluster3.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-112.7451, 43.6488, 1517]",Temp12k1_0_1,MiddenCluster4.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-112.7451, 43.6488, 1517]",Temp12k1_0_1,MiddenCluster4.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-112.7451, 43.6488, 1517]",Temp12k1_0_1,MiddenCluster4.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-112.7451, 43.6488, 1517]",Temp12k1_0_1,MiddenCluster4.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-106.0203, 32.4659, 1760]",Temp12k1_0_1,MiddenCluster5.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-106.0203, 32.4659, 1760]",Temp12k1_0_1,MiddenCluster5.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-106.0203, 32.4659, 1760]",Temp12k1_0_1,MiddenCluster5.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-106.0203, 32.4659, 1760]",Temp12k1_0_1,MiddenCluster5.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-106.0203, 32.4659, 1237]",Temp12k1_0_1,MiddenCluster6.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-106.0203, 32.4659, 1237]",Temp12k1_0_1,MiddenCluster6.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-106.0203, 32.4659, 1237]",Temp12k1_0_1,MiddenCluster6.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-106.0203, 32.4659, 1237]",Temp12k1_0_1,MiddenCluster6.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-116.0048, 34.1548, 573]",Temp12k1_0_1,MiddenCluster7.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-116.0048, 34.1548, 573]",Temp12k1_0_1,MiddenCluster7.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-116.0048, 34.1548, 573]",Temp12k1_0_1,MiddenCluster7.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-116.0048, 34.1548, 573]",Temp12k1_0_1,MiddenCluster7.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-109.0977, 32.3106, 1339]",Temp12k1_0_1,MiddenCluster8.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-109.0977, 32.3106, 1339]",Temp12k1_0_1,MiddenCluster8.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-109.0977, 32.3106, 1339]",Temp12k1_0_1,MiddenCluster8.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-109.0977, 32.3106, 1339]",Temp12k1_0_1,MiddenCluster8.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-115.5548, 31.6387, 782]",Temp12k1_0_1,MiddenCluster9.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-115.5548, 31.6387, 782]",Temp12k1_0_1,MiddenCluster9.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,NA,NA,NA,Age,BP,NA
"[-115.5548, 31.6387, 782]",Temp12k1_0_1,MiddenCluster9.Harbert.2018.lpd,Robert S. Harbert,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[-115.5548, 31.6387, 782]",Temp12k1_0_1,MiddenCluster9.Harbert.2018.lpd,Kevin C. Nixon,Midden,inferred,Mean annual temperature reconstruction,NA,Air Surface,temperature1,degC,1
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,St̩Phane Affolter,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Anamaria H _Uselmann,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Dominik Fleitmann,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,R. Lawrence Edwards,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Hai Cheng,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Markus Leuenberger,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,St̩Phane Affolter,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Anamaria H _Uselmann,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Dominik Fleitmann,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,R. Lawrence Edwards,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Hai Cheng,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Markus Leuenberger,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,St̩Phane Affolter,Speleothem,inferred,NA,NA,NA,tempError,degC,NA
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Anamaria H _Uselmann,Speleothem,inferred,NA,NA,NA,tempError,degC,NA
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Dominik Fleitmann,Speleothem,inferred,NA,NA,NA,tempError,degC,NA
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,R. Lawrence Edwards,Speleothem,inferred,NA,NA,NA,tempError,degC,NA
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Hai Cheng,Speleothem,inferred,NA,NA,NA,tempError,degC,NA
"[7.02, 47.49, 491]",Temp12k1_0_1,MilandreCave.Affolter.2019.lpd,Markus Leuenberger,Speleothem,inferred,NA,NA,NA,tempError,degC,NA
"[175.37, -37.92, 60]",Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Ignacio A. Jara,Peat,inferred,NA,NA,NA,Age,BP,NA
"[175.37, -37.92, 60]",Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Rewi M. Newnham,Peat,inferred,NA,NA,NA,Age,BP,NA
"[175.37, -37.92, 60]",Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Brent V. Alloway,Peat,inferred,NA,NA,NA,Age,BP,NA
"[175.37, -37.92, 60]",Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Janet M. Wilmshurst,Peat,inferred,NA,NA,NA,Age,BP,NA
"[175.37, -37.92, 60]",Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Andrew B.H. Rees,Peat,inferred,NA,NA,NA,Age,BP,NA
"[175.37, -37.92, 60]",Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Ignacio A. Jara,Peat,inferred,Estimated MAT by cross-validation by average of 10 closest analogues,NA,Air Surface,Temperature,degC,1
"[175.37, -37.92, 60]",Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Rewi M. Newnham,Peat,inferred,Estimated MAT by cross-validation by average of 10 closest analogues,NA,Air Surface,Temperature,degC,1
"[175.37, -37.92, 60]",Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Brent V. Alloway,Peat,inferred,Estimated MAT by cross-validation by average of 10 closest analogues,NA,Air Surface,Temperature,degC,1
"[175.37, -37.92, 60]",Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Janet M. Wilmshurst,Peat,inferred,Estimated MAT by cross-validation by average of 10 closest analogues,NA,Air Surface,Temperature,degC,1
"[175.37, -37.92, 60]",Temp12k1_0_1,Moanatuatua.Jara.2017.lpd,Andrew B.H. Rees,Peat,inferred,Estimated MAT by cross-validation by average of 10 closest analogues,NA,Air Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,Marie-Mich̬Le Ouellet-Bernier,MarineSediment,inferred,SST_Winter,NA,Sea Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,Anne De Vernal,MarineSediment,inferred,SST_Winter,NA,Sea Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,Claude Hillaire-Marcel,MarineSediment,inferred,SST_Winter,NA,Sea Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,Matthias Moros,MarineSediment,inferred,SST_Winter,NA,Sea Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,Marie-Mich̬Le Ouellet-Bernier,MarineSediment,inferred,SST_summer,NA,Sea Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,Anne De Vernal,MarineSediment,inferred,SST_summer,NA,Sea Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,Claude Hillaire-Marcel,MarineSediment,inferred,SST_summer,NA,Sea Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,Matthias Moros,MarineSediment,inferred,SST_summer,NA,Sea Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,Marie-Mich̬Le Ouellet-Bernier,MarineSediment,inferred,SST_annual,NA,Sea Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,Anne De Vernal,MarineSediment,inferred,SST_annual,NA,Sea Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,Claude Hillaire-Marcel,MarineSediment,inferred,SST_annual,NA,Sea Surface,Temperature,degC,1
"[-54.002, 68.4719, -519]",Temp12k1_0_1,MSM343300.Ouellet-Bernier.2014.lpd,Matthias Moros,MarineSediment,inferred,SST_annual,NA,Sea Surface,Temperature,degC,1
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,V. Gkinis,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,S.B. Simonsen,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,S.L. Buchardt,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,J.W.C. White,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,B.M. Vinther,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,V. Gkinis,GlacierIce,inferred,200 years low pass filtered,NA,Air Surface,Temperature,degC,1
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,S.B. Simonsen,GlacierIce,inferred,200 years low pass filtered,NA,Air Surface,Temperature,degC,1
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,S.L. Buchardt,GlacierIce,inferred,200 years low pass filtered,NA,Air Surface,Temperature,degC,1
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,J.W.C. White,GlacierIce,inferred,200 years low pass filtered,NA,Air Surface,Temperature,degC,1
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,B.M. Vinther,GlacierIce,inferred,200 years low pass filtered,NA,Air Surface,Temperature,degC,1
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,V. Gkinis,GlacierIce,inferred,"2 sigma, upper confidence limit",NA,NA,uncertainty.temperature,NA,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,S.B. Simonsen,GlacierIce,inferred,"2 sigma, upper confidence limit",NA,NA,uncertainty.temperature,NA,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,S.L. Buchardt,GlacierIce,inferred,"2 sigma, upper confidence limit",NA,NA,uncertainty.temperature,NA,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,J.W.C. White,GlacierIce,inferred,"2 sigma, upper confidence limit",NA,NA,uncertainty.temperature,NA,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,B.M. Vinther,GlacierIce,inferred,"2 sigma, upper confidence limit",NA,NA,uncertainty.temperature,NA,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,V. Gkinis,GlacierIce,inferred,NA,NA,NA,Temperature,degC,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,S.B. Simonsen,GlacierIce,inferred,NA,NA,NA,Temperature,degC,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,S.L. Buchardt,GlacierIce,inferred,NA,NA,NA,Temperature,degC,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,J.W.C. White,GlacierIce,inferred,NA,NA,NA,Temperature,degC,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,B.M. Vinther,GlacierIce,inferred,NA,NA,NA,Temperature,degC,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,V. Gkinis,GlacierIce,inferred,NA,NA,NA,uncertainty.temperature,degC,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,S.B. Simonsen,GlacierIce,inferred,NA,NA,NA,uncertainty.temperature,degC,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,S.L. Buchardt,GlacierIce,inferred,NA,NA,NA,uncertainty.temperature,degC,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,J.W.C. White,GlacierIce,inferred,NA,NA,NA,uncertainty.temperature,degC,NA
"[-42.32, 75.1, 2925]",Temp12k1_0_1,NorthGRIP.Gkinis.2014.lpd,B.M. Vinther,GlacierIce,inferred,NA,NA,NA,uncertainty.temperature,degC,NA
"[43, -84, 3330]",Temp12k1_0_1,PlateauRemote.MosleyThompson.1996.lpd,Ellen Mosley-Thompson,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[43, -84, 3330]",Temp12k1_0_1,PlateauRemote.MosleyThompson.1996.lpd,Ellen Mosley-Thompson,GlacierIce,inferred,NA,NA,Air Condensation,D18O,permil,1
"[21.747, 44.7144, 390]",Temp12k1_0_1,PolevaCave.Constantin.2007.lpd,Silviu Constantin,Speleothem,inferred,NA,NA,NA,Age,yr bo,NA
"[21.747, 44.7144, 390]",Temp12k1_0_1,PolevaCave.Constantin.2007.lpd,Ana-Voica Bojar,Speleothem,inferred,NA,NA,NA,Age,yr bo,NA
"[21.747, 44.7144, 390]",Temp12k1_0_1,PolevaCave.Constantin.2007.lpd,Stein-Erik Lauritzen,Speleothem,inferred,NA,NA,NA,Age,yr bo,NA
"[21.747, 44.7144, 390]",Temp12k1_0_1,PolevaCave.Constantin.2007.lpd,Joyce Lundberg,Speleothem,inferred,NA,NA,NA,Age,yr bo,NA
"[145.6703, -4.4939, -712]",Temp12k1_0_1,RR1313_23PC.MoffaSanchez.2019.lpd,Paola Moffa Sanchez,MarineSediment,inferred,SST,NA,Sea Surface,Temperature,degC,1
"[145.6703, -4.4939, -712]",Temp12k1_0_1,RR1313_23PC.MoffaSanchez.2019.lpd,Yair Rosenthal,MarineSediment,inferred,SST,NA,Sea Surface,Temperature,degC,1
"[145.6703, -4.4939, -712]",Temp12k1_0_1,RR1313_23PC.MoffaSanchez.2019.lpd,Tali L. Babila,MarineSediment,inferred,SST,NA,Sea Surface,Temperature,degC,1
"[145.6703, -4.4939, -712]",Temp12k1_0_1,RR1313_23PC.MoffaSanchez.2019.lpd,Mahyar Mohtadi,MarineSediment,inferred,SST,NA,Sea Surface,Temperature,degC,1
"[145.6703, -4.4939, -712]",Temp12k1_0_1,RR1313_23PC.MoffaSanchez.2019.lpd,Xu Zhang,MarineSediment,inferred,SST,NA,Sea Surface,Temperature,degC,1
"[88.3573, 48.1204, 2450]",Temp12k1_0_1,SaharaSandWetland.Rao.2019.lpd,Zhiguo Rao,Peat,inferred,NA,NA,NA,Age,BP,NA
"[88.3573, 48.1204, 2450]",Temp12k1_0_1,SaharaSandWetland.Rao.2019.lpd,Chao Huang,Peat,inferred,NA,NA,NA,Age,BP,NA
"[88.3573, 48.1204, 2450]",Temp12k1_0_1,SaharaSandWetland.Rao.2019.lpd,Luhua Xie,Peat,inferred,NA,NA,NA,Age,BP,NA
"[88.3573, 48.1204, 2450]",Temp12k1_0_1,SaharaSandWetland.Rao.2019.lpd,Fuxi Shi,Peat,inferred,NA,NA,NA,Age,BP,NA
"[88.3573, 48.1204, 2450]",Temp12k1_0_1,SaharaSandWetland.Rao.2019.lpd,Yan Zhao,Peat,inferred,NA,NA,NA,Age,BP,NA
"[88.3573, 48.1204, 2450]",Temp12k1_0_1,SaharaSandWetland.Rao.2019.lpd,Jiantao Cao,Peat,inferred,NA,NA,NA,Age,BP,NA
"[88.3573, 48.1204, 2450]",Temp12k1_0_1,SaharaSandWetland.Rao.2019.lpd,Xiaohua Gou,Peat,inferred,NA,NA,NA,Age,BP,NA
"[88.3573, 48.1204, 2450]",Temp12k1_0_1,SaharaSandWetland.Rao.2019.lpd,Jianhui Chen,Peat,inferred,NA,NA,NA,Age,BP,NA
"[88.3573, 48.1204, 2450]",Temp12k1_0_1,SaharaSandWetland.Rao.2019.lpd,Fahu Chen,Peat,inferred,NA,NA,NA,Age,BP,NA
"[-148.82, -81.65, 621]",Temp12k1_0_1,SipleDomeA.Das.2008.lpd,Sarah B. Das,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[-148.82, -81.65, 621]",Temp12k1_0_1,SipleDomeA.Das.2008.lpd,Richard B. Alley,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[57.347, 14.321, -3212]",Temp12k1_0_1,SO42_74KL.Huguet.2006.lpd,F Sirocko,MarineSediment,inferred,SST_1_12_degC,NA,Na,Temperature,unitless,1
"[65.916, 24.833, -695]",Temp12k1_0_1,SO90_56KA.Doose-Rolinski.2001.lpd,Heidi Doose-Rolinski,MarineSediment,inferred,SST_1_12_degC,NA,Sea Surface,Temperature,degC,1
"[65.916, 24.833, -695]",Temp12k1_0_1,SO90_56KA.Doose-Rolinski.2001.lpd,Ulf Rogalla,MarineSediment,inferred,SST_1_12_degC,NA,Sea Surface,Temperature,degC,1
"[65.916, 24.833, -695]",Temp12k1_0_1,SO90_56KA.Doose-Rolinski.2001.lpd,Georg Scheeder,MarineSediment,inferred,SST_1_12_degC,NA,Sea Surface,Temperature,degC,1
"[65.916, 24.833, -695]",Temp12k1_0_1,SO90_56KA.Doose-Rolinski.2001.lpd,Andreas L _Ckge,MarineSediment,inferred,SST_1_12_degC,NA,Sea Surface,Temperature,degC,1
"[65.916, 24.833, -695]",Temp12k1_0_1,SO90_56KA.Doose-Rolinski.2001.lpd,Ulrich Von Rad,MarineSediment,inferred,SST_1_12_degC,NA,Sea Surface,Temperature,degC,1
