dataset name,compilation name,archiveType,predicted archiveType,TSid,variableType,variableName,predicted proxyObsType,remainder(variableName),proxyObservationType,final proxyValue,proxyValue from,units,hasProxySystem,ProxySystem.SensorType,interpretation/variable,interpretation/variableDetail
MiddenCluster8.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBdb5bec388,measured,longitude sample,NA,NA,NA,longitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster8.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEB48ec3b148,measured,elevation sample,NA,NA,NA,elevation sample,3,m,NA,NA,NA,NA
MiddenCluster9.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEB0292cb449,measured,latitude sample,NA,NA,NA,latitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster9.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEB12f682829,measured,longitude sample,NA,NA,NA,longitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster9.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBe85bf21d9,measured,elevation sample,NA,NA,NA,elevation sample,3,m,NA,NA,NA,NA
NA87_22.Duplessy.1992.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RN8pdjGlTyg,measured,planktic.d18O,d18O,planktic.,NA,d18O,2,permil,NA,NA,NA,NA
NevadoHuascaran.Thompson.1995.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,IC95THHU02B,measured,d18O,d18O,NA,NA,d18O,2,permil,NA,NA,P_isotope,air@surface
NevadoHuascaran.Thompson.1995.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,IC95THHU02A,measured,d18O,d18O,NA,NA,d18O,2,permil,NA,NA,P_isotope,air@surface
NevadoHuascaran.Thompson.1995.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,IC95THHU01B,measured,d18O,d18O,NA,NA,d18O,2,permil,NA,NA,P_isotope,air@surface
NevadoHuascaran.Thompson.1995.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,IC95THHU01A,measured,d18O,d18O,NA,NA,d18O,2,permil,NA,NA,d18O of precipitation,air@surface
